IL,RC (mol/L),Box sides (Ã…),Cation,Anion 1,Anion 2,Water
[EMIMCl]+[EMIMDCA],0.5,94.6,252.0,126.0,126.0,25659.0
[EMIMCl]+[EMIMDCA],1.0,94.2,502.0,251.0,251.0,23410.0
[EMIMCl]+[EMIMDCA],1.5,93.8,752.0,376.0,376.0,21161.0
[EMIMCl]+[EMIMDCA],2.0,93.3,1004.0,502.0,502.0,18894.0
[EMIMCl]+[EMIMDCA],2.5,92.9,1254.0,627.0,627.0,16646.0
[BMIMCl]+[BMIMDCA],0.5,94.7,252.0,126.0,126.0,25266.0
[BMIMCl]+[BMIMDCA],1.0,94.3,502.0,251.0,251.0,22628.0
[BMIMCl]+[BMIMDCA],1.5,94.0,752.0,376.0,376.0,19989.0
[BMIMCl]+[BMIMDCA],2.0,93.6,1004.0,502.0,502.0,17330.0
[BMIMCl]+[BMIMDCA],2.5,93.2,1254.0,627.0,627.0,14691.0
[EMIMCl]+[EMIMNO3],0.5,94.5,252.0,126.0,126.0,25687.0
[EMIMCl]+[EMIMNO3],1.0,93.9,502.0,251.0,251.0,23466.0
[EMIMCl]+[EMIMNO3],1.5,93.3,752.0,376.0,376.0,21246.0
[EMIMCl]+[EMIMNO3],2.0,92.7,1004.0,502.0,502.0,19007.0
[EMIMCl]+[EMIMNO3],2.5,92.1,1254.0,627.0,627.0,16786.0
[BMIMCl]+[BMIMNO3],0.5,94.6,252.0,126.0,126.0,25294.0
[BMIMCl]+[BMIMNO3],1.0,94.0,502.0,251.0,251.0,22684.0
[BMIMCl]+[BMIMNO3],1.5,93.5,752.0,376.0,376.0,20074.0
[BMIMCl]+[BMIMNO3],2.0,93.0,1004.0,502.0,502.0,17442.0
[BMIMCl]+[BMIMNO3],2.5,92.4,1254.0,627.0,627.0,14832.0
